Name,Date,Range,Tags
W1,"Sep 09, 2019 → Sep 14, 2019",,W1
W2,"Sep 16, 2019 → Sep 21, 2019",Ch3 Ch4,W2
W3,"Sep 23, 2019 → Sep 28, 2019",Ch5 Ch6,W3
W4,"Sep 30, 2019 → Oct 05, 2019",Ch7 Ch8,W4
